iter	Passed	Remaining
0	1	182
1	4	219
2	6	216
3	8	207
4	11	221
5	15	240
6	19	254
7	22	263
8	25	261
9	28	256
10	31	258
11	34	254
12	37	252
13	40	250
14	44	251
15	47	249
16	50	247
17	53	243
18	56	240
19	59	237
20	61	232
21	63	224
22	65	218
23	68	215
24	70	211
25	72	206
26	74	202
27	77	198
28	79	194
29	82	191
30	84	189
31	87	185
32	89	182
33	91	178
34	94	174
35	96	171
36	99	168
37	101	165
38	103	162
39	105	158
40	106	153
41	107	148
42	109	144
43	111	141
44	113	139
45	116	136
46	119	134
47	120	130
48	123	128
49	125	125
50	128	123
51	131	121
52	133	118
53	136	115
54	137	112
55	138	108
56	140	105
57	142	103
58	144	100
59	146	97
60	149	95
61	151	92
62	153	89
63	154	87
64	156	84
65	159	81
66	161	79
67	163	76
68	165	74
69	167	71
70	169	69
71	171	66
72	173	64
73	175	61
74	177	59
75	178	56
76	180	53
77	182	51
78	184	48
79	185	46
80	187	43
81	189	41
82	190	39
83	192	36
84	193	34
85	195	31
86	196	29
87	197	26
88	199	24
89	201	22
90	203	20
91	205	17
92	207	15
93	208	13
94	210	11
95	212	8
96	213	6
97	215	4
98	216	2
99	218	0
